,reviewID,reviewContent,flagged
14284,MZBuJtXetkC9EjoFXdj16A,"I want to give this place a higher review but I'm so sad I can't :(. They used to have my favorite mojitos in the city but recently something has changed and they aren't any good. Sooo disappointing. But I still rate it pretty highly because their brunch breakfast burritos make me insanely happy. I vote best I've ever had. Their taste of Cuba platter is so delicious!! It's a must if you go.  So I hate to do this AGAIN but I have to drop my rating.  We went, we were ignored by the host for like 15 minutes and then finally seated.  Our food came and 2 out of the 3 orders were incorrect (not just like one thing here or there but the major things wrong.)  and it was awful.  Sad face.  Used to be my go to for brunch but no longer.",N
11042,MARyaGqQzrzL5fPW,"My first intro to Piece a couple of months ago was via delivery. We ordered a red thin crust sausage and cheese. It was very good, but I knew I would have to have an actual in restaurant experience. Decided to stop in a couple of weeks ago as I was in the area. It was crowded as hell in this joint! My party of 3 was told it would be a 15-20 minute wait..we were seated in 5 mins. We ordered a red thin cheese and pepperoni which was very good. They have a very good beer selection as I went with the camel's toe (for obvious reasons...lol) which was a pretty good beer. Sad I am just now checking this joint out as I once lived nearby. Good stuff here and will pay more visits.",N
15682,6f2JWC3KCDZXRJAis0503g,"I really wanted to love this place because I have a friend who rants and raves...but not so much.   Ordered soup...got through 2 slow rounds of drinks before we had to ask about it.  Our waiter then was like ""oh, sorry.  Yeah about the soup.  We are out of the soup of the day and I was meaning to ask you if roasted red pepper and tomato soup is ok"" Yeah sure, fine.  I'm starving, bring me whatever! Soup took another 15 minutes to get to the table.  It was delicious, but that was the highlight of the meal.   It took another 45 minutes AFTER the delayed soup to get our fish.  The server actually came out to tell us that our food was on the line under the heaters waiting for a runner and he was sorry it was taking so long.  If you have the time to see the food and come outside and tell us it was ready then why wouldn't you just bring it out???  It took another 10 minutes for them to bring it out.  Mine was very fishy, my boyfriends was very dry, his mom's fish had NO flavor at all, and his dad ordered chicken and ate about 1/3 of it.  It was served with a side of mac and cheese that he took one bite out of.  It was just horrible and the server knew it was bad.  He never asked us how our food was, and if we hadn't waited over an hour and half for the food we would have sent every dish back.  We were starving and none of us finished our plate, and we are all big clean plate people!   I would have given them 2 more stars had they discounted the bill.  But $200 for a knowingly shitty meal...not ok in my book.  I will NOT be back for dinner.  Sorry guys!",N
34077,cfxZZDVQheN-tnmXl45lVg,"Wow. Just, wow. Everything about this place is simply stellar, from the decor to the menu to the sushi bar. It's chic and modern but accented with old, historic pieces that are influenced by Asian design--I loved the whole concept. And as for the food--I think ""yum"" sums it up. We went for brunch, which has quite the reputation, and it lived up to all the hype. The bloody mary bar alone took our breath away; every garnish you could ever imagine! My girlfriend got the ""Hangover Cure"" and I got the Oxtail Smash. Both were probably the most unattractive combination of foods--eggs, rice, potatoes, hamburger patty--but platted oh-so-nicely. And we weren't complaining because we were too busy shoveling the goodness into our mouths. Then cookie bites for dessert. Love. The service was fantastic. Very genuine and not snobby at all; I won't lie, we were worried about how intimidating this place might be. Not at all. We didn't even get to the sushi portion of the menu. You can bet we'll be sampling that on  our second visit. Highly recommend.",N
13076,Ms1bLefrdMWnx6kt3nZXjQ,"This place is awesome.  I have been more than 10 times and I always get the same thing.. start with the awesome mixed greens salad (order a small for 2 people, or a large for more than that), and you will LOVE it!!  The dressing is light, and there are even candied walnuts. Fabulous!  My go-to pizza choice is pepperoni with banana peppers.  It is so so so good.  Last week, I went and had my classic, and then tried a new one (shock!) which was also great.  We got goat cheese, sausage and mushroom.  The goat cheese was so good on a pizza.  The place almost always has a wait... but the beers are so good, who cares!?  It is a great place for a group or a date, if you're sure you like the person!  If not, it could be a long night if it's busy!",N
9985,TmxGU6dhkKDREXpGsBDJaQ,"I love the fact that they bring warm bread and feta cheese out to every table. I have been here a few times and it is funny, I always seem to have the same waitress (I wish I had her name to compliment her)...she is always very nice! The food here is great. We usually will get a chicken dish and a lamb dish. I tried the Lebanese white wine on the last trip and it was delicious! It might be one of my new favorites.",N
10791,s2P67DYYba5J8gyR-,"The concierge recommended Piccolo Sogno. I suggest you go there.  It's a huge value, just like eating in Rome, no lie. Big TIP: Pastas are available in appetizer sizes so go small plates! Piccolo Sogno delighted and amazed. The pastas are exotic, rich and right on, not too salty or over spiced. The wine selection, mostly Italian, features gems between $30-$70. The WHOLE tab for two (2 appetizers, 2 pastas, the amazing short rib entree, and two desserts ranged from excellent to stunning. Let them know you're doing a Yelp review. They took amazing care of us. Reports of service issues with Piccolo Sogno don't jive with what we experienced. There were groups of young men hanging out, barely letting a crumb hit the table.",N
52497,cDDD8QYSPzk0iAMOTMS26g,It's a steakhouse restaurant with adjacent lounge. The rooftop lounge area is not really grand but has intimate vibe to it. Very NoMi-esque. Judging from an interesting fireplace installation at the bottom floor it can be said that someone wanted an ambitious modern decor. I wish I could render similar verdict about their drinks. Very limited options of liquor. Managers should really diversify their bar if they still wish to attract crowd into their lounge.,N
8695,yVnWIhHeCzBiMywShkoMfw,"meh. this was ok.  we started with fried zucchini and capresse salad for appy's - the zucchini was too sweet for my taste and the capresse was really good.  Then came two pizzas, a white with truffles oil and mushrooms and a red with buffalo cheese and basil.  Eh.  It was good.  In my opinion, good, but not outstanding.  Plus it all tended to slide off the crust before it got to your mouth, which was just sort of an annoyance.  I guess we were comparing to another Napoli pizza place we frequented near a class we were taking and that just blew me away.  This left me a little sad that I hadn't decided to return there instead of try a new place.  The tiramisu, however, was quite tasty.  And the service was quite good too.  I just can't give it more stars because the pizza itself was underwhelming, to me, but I'm far from an expert on Napoli pizza.",N
16853,r-VfAY-orChISn3HIUmBSw,"I was in Chicago for a girlfriends' weekend, and our cocktails at the Violet Hour were absolutely what we needed! One of my friends who is new to the city said she heard it was a great cocktail lounge, and once we got there, we knew it was perfect for what we wanted! It's luxurious, the drinks are delicious, the seating is quiet and private, the music is soothing and moody, the nibbles are tasty, and we were completely thrilled! Yes, some of the things the Yelpers write are true, though I don't think they were necessarily negatives. First, we didn't wait AT ALL. We arrived around 6 p.m. on a Thursday, and we got right in. Two of us were together, waiting on our third friend, and we stood outside for a bit because we didn't know if they would seat us if we weren't all there. But we were cold, and people kept going in, so we thought we better try or we might be waiting in a line; we went in and said there were two of us, and we would have a third, and they seated us immediately. We were given two of the very high-backed chairs (I loved those!) and an ottoman. We knew that our friend would probably not feel comfortable sitting on that ""footstool,"" so we asked if we could move to an empty booth, and the waitress said ""of course!"" immediately and helped us move. The booth was wonderful, and we felt as if we were in one of our living rooms all evening -- a living room with a hostess, a waitress and amazing cocktails! Second, the lounge is not marked outside. We were a little flustered when we arrived because we weren't sure where it was, but we were waiting for our friend and watched people go in, so, with the help of Google maps, we confirmed it was the right place. Third, other people on Yelp have complained that the Violet Hour doesn't allow for standing customers, and, honestly, I thought it was awesome! By the time we left, the place was full, but it never felt crowded or irritating. I appreciate that the hosts/hostesses keep the numbers down to preserve the experience for those who are seated. If you want to go, try to go early on an off night, as we did, and you'll get to enjoy it. The lounge doesn't allow cell phone use, and we took this so seriously, we texted from inside our purses! But, again, I really appreciated that some Loudy Louderson wasn't screaming into his/her phone at the next table over. Finally, we all really liked the music! When we arrived, an older Rufus Wainwright album was playing, and my friend was thrilled with it, as was I. I found the music to be conducive to our conversation and enjoyment, not replacing it. What did we have? I stuck with the Juliet and Romeo all evening. It tastes like summer, and I just loved it, and didn't want to switch. It arrived in a champagne glass with a tiny carafe on the side with the ""rest"" of the drink, which I appreciated (these were not cheap!). My friend sampled more of the menu. They tried the raspberry cobbler, the Austin and  Pimm's traditional cocktail. The waitress worked with my friend and suggested things based on what she said she liked. We all liked all of our drinks, every single time. I also ordered food, the crispy pork belly and the goat cheese, and it was PLENTY. I shared and still couldn't eat it all. The pork belly was like ""pork belly nuggets,"" crispy on the outside and melty-tender on the inside. The ""dip"" was creme fraiche, and was amazing. The cheese came with PLENTY of bread and a fruit spread as well, and the prices for the food were reasonable. The only quibble I have/agree with is that they will NOT make you a standard cocktail. They will ONLY make the cocktails on the list, or, I guess, alternatives from their repertoire. My friend, after trying a couple of the menu items wanted a pomegranate martini, and the waitress said, ""we don't have that."" I think if you have a full bar, you can probably make a martini! That written, the cocktails we had were absolutely delicious! Honestly, our experience was nearly perfect, from the greeting at the door, the service (from many people, the hostess, who checked on us multiple time, to the waitress, to the runners who brought drinks and food). The ambience and decor, the privacy of the setting, the luxuriousness of the decor, the pleasantness of the music, the secluded feeling of the whole setting. I would absolutely go back to the Violet Hour next time I'm in Chicago. I've had lovely times at the SoHo Grand and the Brandy Library in New York City, and this definitely rivals those experiences.",N
18331,ra1O6HD6FxlT-aCv9ZuLxw,"I went with a friend who lives a few blocks away. I had not heard of it before, but was I impressed. From the moment I walked in...WOW. The decor is amazing. The host and hostess are both super friendly. Get there early to avoid a line. The front room and middle room are my two favorites. The servers are also knowledgeable and friendly. The drinks are amazing (try the Juliet & Romeo) and I feel as if I've walked into a more romantic and simpler time. I've been 4 times and will continue to bring friends to this exceptional place.",N
32765,0jBVC,"I'm a VERY picky fan of Chicken Pad Thai and this place is now neck and neck with Duck Walk on Fullerton for my favorite pad thai in the city!!  :)   Love it!  It's just the flavor I'm looking for when it comes to Chicken Pad Thai.  It has the thinner noodles, but it is still full of a subtle yet delicious flavor that I love and not brown or orangey looking like the kind of pad thai I loathe.  Chicken itself was good quality too. We also had the Crab Rangoons, yum, and the cold Peanut Spring Rolls which were also pretty good. Service was friendly and attentive.  Atmosphere is very busy and crowded so probably best for a dinner with friends or just a casual date where you don't want quiet.  The place is broken up into 3 different rooms to eat in but just know that it is tiny-ish, and the decor is cute too!  Just a nice warm place.",N
49077,QtbTFuFCIIJ52W-QoVbmlA,"Dude I was in Chicago for only like 5 days.  I went to a couple pizza joints and this place was the illest!   We had the most rad righteous pizza here, all you haters, come on now, just cause you had to wait long don't got nothin' on the pizza!   The feelin' was there, the vibe was fun and crowded and the pizza was on point for sure.  The deep dish....oh their deep dish, I guess I could go on and on about how it saved my life but you are just gonna have to check in. I spec the locals know a thing or two aboot pizza, but for us out-of-townies Giordano's is like finding a suit case full of money in a ditch near your house.",N
58789,Jp1cP4jpQC1DHFqseKYjeA,"It was good, but it can be better ,And 24 courses is just too long.",Y
32571,2Yv7lcpLFRycLdmA7vShdw,"Yuck, the food was gross. The cheese on the cheesy bread was rubbery and smelled terrible. I added a star because I feel bad that I seemingly offended the staff when they overheard me complaining about the unappealing food.",N
28082,TpXTQJ8d-uiUODEa82eJpw,"Very Very nice place to take that special someone. We went there for my honey's birthday dinner. Food and wine was wonderful, better yet a 60%off Groupon Coupon is so worth it because they are a little pricey. Definitely a special place to impress :) Start off with Cheese Fondue, Main Course and my FAVORITE! Chocolate Fondue that is awesomest to my tummy.",N
28138,V2O2P60-li1VfhtG-t-PnA,"Mehhh.....maybe I'm just not a fondue person?  Sure, it was romantic, but I feel as though the main course lacked flavor and the dipping sauces were mediocre at best.  Especially for the dinner being $60 a person, which didn't include our drinks, I thought it was rather expensive and the portions were small for the prices.  Your clothes do smell like grease and when your meats slide off and splash into your oil, consider your favorite, fancy shirt stained.  The only thing I really enjoyed was the chocolate fondue with strawberries and marshmallows, but that's about it...Sorry Geja's...",N
27078,H8VETGXR8h1tWZSBLv2G-Q,"This place was good.  Tried some empanadas and garlic tostones/plantains.  The empanadas were decent, but my tostones were way, WAY too garlicky (and by the way, I love my garlic!).  Otherwise, the menu seemed to have a very good selection and the outdoor patio seating was a plus.  Also, make sure you bring cash, this place does not except credit/debit.",N
64839,99aaHpgbVGBl_trmu1UAIQ,"I have never been to a Giordanos I didn't like.  The only problem with this one is the wait, but it's just because it's that good.  Service has alway been good and the pizza has never disappointed.  This is by far my favorite location and favorite pizza!  They need to open one in Iowa City, Iowa!",Y
28114,fZpVkd9t0iSsDHQMvRdy4A,"One random Saturday afternoon Aaron picked up our food network magazine to see a spread about the fifty states and the best pizza in each one, we decided to see for ourselves if this place could beat out Uno;s and Lou's. It's a divey dark, kinda small but with a second floor kind of bar setting place. The waitstaff adorn shirts of the mascot which is a whale with a pair of panties on it's head. I couldn't figure out what the joke was there, but ah well. Everyone was friendly enough. Aaron and I decided to order up a deep dish pepperoni pizza and the fried appetizer platter. The timing was good because the appetizer came out fairly quickly. Everything on it was good, the stand out though, were the Jalapeno poppers. They had cheddar cheese in the middle rather than the more standard cream cheese. It was a really nice and tasty touch. The pizza was also fantastic. I loved the touch of the burnt parm cheese cooked on top of the crust. It was also a very balanced za just the right amount of sauce and cheese on it. The dough had almost an olive oil taste to it, and I swear that the sauce had a touch of red wine in it. The pep[eroni was nice and crisp and thin sliced with a hint of spice in it. All in all it was a great dinner. I keep telling Aaron that we need to make a return trip because that za was crave worthy.",N
61252,vgAY4YpPVa4DyxYI0OrqqQ,"I went there recently for the lunch buffet with a friend.  We haven't had breakfast, spent the morning walking around in the snow, and was reasonably hungry.  We were also looking for a good meal that will fill two healthy adult men, and came to India House.Soon as we sat down, we were served some garlic naan and tandoori chicken that was served on a sizzling platter.  Which was gooood!  The waiter asked if we would like some more, but we opted to try the buffet.  From my memory I remember about 12 or more entree options, with stir fried veggies and at least two different rice dishes, one being plain white.  I've been to maybe two different Indian lunch buffets in my life, but this is easily the best in terms of quality and quantity.  They also have a good salad/fruits selection and some tasty dessert menus, which included an amazing mango ice cream.The interior is surprisingly spacious, clean and some interesting decor, and the staff were very nice and ready to serve.  The location is a couple of blocks away from the Grand/State on the Red line.For a lunch buffet under the $20 price range, this is the Indian buffet to go!",Y
10041,10o4-nfSE4PjjwgftLCLcQ,"Chicago - Wednesday, December 9th 2009. 1:45pm. Snow flakes drifting on the city, wind blowing. I enter Le Colonial and everything is suddenly different. The temperature, the place, the time. It has been said times and times again but as soon as you push the door you find yourself transported in Saigon circa 1920. I fell in love with Vietnam through the screen; the movie 'Indochine' (a French one, and kinda of a chick flick even though it's supposed to be historical) showed off the country in the most beautiful way - and I discovered the Halong Bay. Instant love. Now my good friend Lili and her gorgeous Eurasian baby live over there and I cannot wait to go and see them. But in the meantime - there are some little bouts of paradise I can grab here and there. So far I was satisfied with getting pho and egg rolls on Argyle but now that I set foot in Le Colonial it may be hard to go back to ordinary.... The food was delicious - crisp flavors, fresh ingredients, wonderful combinations.... We shared the Cha Gio (what you guys would call 'egg rolls' but that are labeled as 'crispy spring rolls or shrimp pork and mushrooms - highly reminiscent of nems), Goi Cuon (spring rolls), Banh Cuon (the most delicious steamed chicken ravioli I have ever encountered in my life), Bo Luc Lac (filet mignon salad) and Bun Thit Nuong (barbecued pork served over noodles). Everything was p-e-r-f-e-c-t. Lovely banana desserts and great Graves wine. For a long and comfortable 2 hours, it wasn't winter anymore..... Pure magic.",N
57979,YsYBsGh,If you enjoy steak this place is for you! The waiters are great and the atmosphere is awesome! Just make sure you do not make any plans after dinner as a food coma follow along with the need to unbutton the pants and sit on the couch is promise! Great time!,N
38275,tVtcg3bSZyrArDe9B6KVZA,I really really like falafel. If there weren't so many hipsters here it would probably get five stars.,N
40796,2QA7NkUbN2UI6stGnPpdLw,"Yeah, I'd definitely compare this place to Dean & Deluca out in NYC. It's the premier selection of hard to find groceries. By the time you're done reading this, I hope you can guess what their deli counter is like, but let's just review a few of the finer points of their supplies as a grocer. 1. Mushrooms. There are so many varieties of edible mushrooms and at any major supermarket, you only have about 3. This place stocks all the ones you can't find or even heard about. Live beyond portabellos, criminis, and whites, and you will be greatly rewarded. 2. Olive oil. They stock olive oil like liquor stores stock beer. You would never believe just how many varieties are being produced and how they are appraised like wine. More importantly, you would never think that olive oil would make such a cool translucent wall display. 3. Dry pasta. Fresh pasta is overrated if you ask me because a properly made dry pasta is killer. Their pasta come from makers that use the best semolina and bronze dies! BRONZE dies are what makes the pasta. Most pasta makers use steel because they won't wear down, but bronze leaves the pasta scaly so it catches more sauce. 4. Olive bar. Did you know that there are over 20 different types of olives? I knew that,  and I'm sure you did too, but it's another thing entirely to be looking at an olive bar with 20 different types of olives. I've blown $40 just on olives because they are that good. Lovers of dirty martinis rejoice, because you have found your salvation from mail-order. 5. Cheese and crackers. While a place like Whole Foods provides an excellent assortment of cheese, this place has a cracker that compliments each cheese in addition to wine. I love crackers. I'm not even tackling spices and chocolates because those items can be procured elsewhere, but we're talking the convenience of localized concentration. I defy you to find me a store with this much variety of things most grocers overlook in one spot. It also means your bill will be about double or triple more than Jewel's or Dominicks.",N
28453,4u-mYKOJ7dgOrUbGTtctkQ,"I like Geja's even though you don't have a choice of broth/oil for the main fondue course. Even when it is so dark you can barely see your date let alone what you're eating. However, I am a bit perturbed by their Valentine's Day package. You MUST get the package deal to eat there on Friday or Saturday. A friend and I want to go, but we are vegetarian. Why do I have to pay exactly the same amount as people who will be getting more? Not very accommodating.",N
31881,6fv4yPN9J,"This place has been around FOREVER, and I really mean it. My earliest memory of this restaurant is eating here as a very young child with my parents. I am now 24 and my parents have been divorced for 15 years, so that definitely dates this memory. Anywho, on to the review. The food is your standard Thai fare: appetizers, noodle and rice dishes, and dishes based around meat, meat, and more meat. The food is prepared very quickly and it is fresh and tasty... yum. A couple of negatives (even if it is a 5-star review): Their meat dishes don't have a lot of vegetables in them. ""Why is this a complaint?"" you ask. Because sometimes I want a combination of veggies and not just two chunks of broccoli and beef. I know, call me crazy. Second, their waiters can have attitudes. Why the attitude my friend? I'm only trying to eat some of your delicious food. Prices are great, parking is very easy, and the ambiance is pretty decent if you go into one of the back rooms. The front room has a lot of foot traffic. Okay, so maybe it really isn't deserving of a 5-star review (those are hard to come by) but my fond childhood memories are forcing me to be biased in a positive way. Definitely check it out if you're in the neighborhood.",N
29476,VJvDVhOL3XxcM66wAuRlxg,"Very few times does a place live up to it's hype.... And last. This place is LEGIT! No reservations, so you'll be tortured by a wonderful margarita or other tasty concoction these high quality bartenders whip up. Chips and salsa are as good as it gets. Into the dining room, attack anything with mole sauce. The busted dishes and carne asada is awesome! Three tips....enchiladas, enchiladas and enchiladas!",N
46613,0mE,"I've had a lot of stuffed pizzas since I've been here and I never liked any of them, I was starting to wonder what the big deal was about Chicago deep dish... In fact when I hear Chicago deep dish it gets on my nerves. I ordered a stuffed pizza w/ italian sausage from here and I must say it made me a huge fan.  I wouldn't go as far to say that this is the best pizza place in Chicago, but I certainly like it.  Everyone has their own opinions on what great pizza is - this worked for me in particular. The only shitty part of the experience was the 1 hr 15 minute wait and I called to complain and I was rewarded with a free liter of Mountain Dew but I don't drink soft drinks so that was a bust.",N
25254,CGhHJnC01GLsThjAh5z2GQ,"The goods: Food is cheap and generous.  I've had the pepito ribeye sandwich multiple times (you find a winner and you stick with it).  It's $4.50 and huge at that price.  Tastes great with it's grilled onions, bean spread, muenster cheese and lizano sauce. Try the oatmeal shake (with milk if you're up to it), it's like a thick horchata. The chips they serve are salty and sometimes stale...but the salsa verde is mighty nice. also, the atmosphere is lacking...mostly just posters from the costa rican board of tourism.",N
26860,ui6PA,"I am so in love with everything Irazu, I think about it and it makes me happy. There's so much good but what drives me absolutely crazy are their Patacones, specifically the mojo that comes on top. I don't know what the hell they do to that garlic but no other place comes close. The green plantains are fried perfectly, the garlic is delicious and I ask for extra so I can put some in my Pepito...mmm Pepito. Beans, lizano, steak, cheese. grilled onions, hot peppers, avocado...its so good. I am addicted and love it and want to eat it every day. love irazu love love love.",N
55393,1b-96UZ8ZexNIXNuZAOMRA,"Tried going here without reservation and the wait was an hour long for lunch. Came back on a weekday with reservations and got seated within 10 minutes of checking-in - yay! They have a lunch prix fixe menu but not everything on the lunch menu was included. We thought that we can just pick 1 item from the appetizer, entree and dessert list but we assumed wrong - the choices were limited and not that enticing. We ordered from the regular menu instead and the food was good. We had Shrimp and Grits and Eggs New Orleans. My shrimp and grits were good but I was still hungry after - their portions were small for $13. The shrimps were a tad small, which was fine if they had given me more, but they didn't - I think there were only 6. Eggs New Orleans was delicious, but I thought the crab cakes were a bit dry. For $16, I was expecting it to be bigger as well (maybe we're just fatties?? I don't know) 3 stars because as much as the food was good, I thought it was pricey and not worth the wait. I'd rather wait and spend my $ at M. Henry's.",N
45225,ph,"Ruth's Chris is phenomenal in every way! The food is amazing. You have to order a filet. It comes out sizzling on a plate of butter. The garlic mashed potatoes, au gratin potatoes, shoestrings and au gratin broccoli are all fabulous too. Their desserts are to die for. I always leave uncomfortably full because I cannot stop eating when I'm here. One time when I was here, I had a taste for Mike's Hard Lemonade and asked the waitress if they served it. She apologized and said no, so I ordered something different. Minutes later, she showed up at the table with a bottle of Mike's Hard Lemonade! She sent a staff member to the nearby liquor store to buy it for me! Everyone here consistently goes above and beyond and it does not go unnoticed. I've never had a bad experience and recommend Ruth's Chris to everyone. Sit in the booths along the windows by the bar. I feel like those are the best seats in the house!",N
18110,P7VF-Ug9O9BDHK47bEuUuw,"Rehearsal dinner was just as I had imagined it would be....amazing! The service was spot on! The staff was very accommodating and hospitable. Everywhere you turn, ""Would you like another mojito/sangria?"" with a fresh one already on the tray. The food was, well, how many stars to do you see up there? Garlic Shrimp, Pork and Beef with a ridiculous sauce!  Next time we have an event here....Ceviche Bar! No doubt.",N
38618,CZUN1PGsIpQZK8eH6E1dBQ,"I did another round of Duckmas here. What's Duckmas? Well, it's the same day as Christmas, only we celebrate friendship and gluttony, and duck! I was worried after a bunch of rounds of phone tag and telephone with the staff that Duckmas might not happen, but it was all sorted out and ran smoothly on the big day. If you want the Beijing Duck Feast then you MUST call ahead and place an order. Their website says it takes them about 24 hours to prepare, so don't just show up expecting duck to magically appear. Not even on Christmas. They also say that a single duck dinner feeds 4-5 people. We had exactly 12 guests at our giant table and ordered 3 Duck Feasts. It was the perfect amount, but 2 people did not eat duck and ordered something else. We also ordered a couple sides of veggies and extra buns. Sun Wah is still BYOB even though they also have a liquor license and sell drinks. Corkage fee is $5 per bottle of wine. With all the food + corkage each person paid $18 for a ginormous meal. If that's not a Christmas miracle, I don't know what is!",N
15892,zPvUYbhecT8Hc-G-EIHG7g,"On an absolute miserably rainy, gray Chicago day--what a find. Fun and quirky, full meals with a rare smile and Cuban black beans. Hope they come to the South Loop.",N
