,reviewerID,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount
2037,knQNIhFTED9V6QKtcX-vfA,Kazi V.,"Chicago, IL",October 2009,0,4,0,3,2,1,0,0,0
2063,MEvIFUnUtQbythmc_mE3Aw,Cyndi with an i G.,"San Francisco, CA",August 2009,117,83,0,66,28,15,15,20,1
2086,ivlqPjxpAqQ7W2AFNyZhdw,erica ELF f.,"Chicago, IL",November 2008,4,14,1,14,3,9,0,0,1
2100,bfD3nS5PqVwykoqNibzlTg,Adam R.,"Chicago, IL",July 2010,1,29,1,45,8,7,1,2,1
2204,gm8s369GjvqHzLUw4VNVYA,Frank The Thinker N.,"Chicago, IL",July 2010,0,7,0,6,1,0,0,0,0
2211,Igvgszlbl6Et6H4tQSbjwA,G Little Hitler M.,"Louisville, KY",May 2012,0,28,6,10,3,5,0,0,0
2256,YYgDMsq5XGwHjeyeyNN_7Q,Scott W.,"Chicago, IL",December 2006,5,22,4,37,13,4,6,0,2
2308,R_ziWBRNb7SjuMBzZIcIsw,Kristine M.,"Centreville, VA",May 2009,10,63,3,43,11,9,1,0,1
2310,4rllndtbWasmhbKpa6YLww,Sasha R.,"Chicago, IL",August 2008,73,152,6,428,279,293,147,0,14
2354,HFj6tAGbKUtfnBVt9GFXoQ,Nina B.,"Arlington, VA",February 2009,0,7,0,2,3,1,1,0,0
2370,eBWor6S8e2DFZ6iFFi1hAw,Shail G.,"Washtenaw, MI",August 2009,0,11,0,7,0,0,1,1,0
2384,BitdrPsmX1SJtNHFpWuj5w,Amanda D.,"Madison, WI",July 2007,23,133,26,190,76,49,26,0,3
2539,7Uc8tiz_j9LAEZCQWV8TgQ,Tianiee S.,"Hollywood, FL",January 2010,51,227,38,284,78,91,59,14,9
2547,JIUl9STS4PhV8EdiKmUUUg,Cindy C.,"La Jolla, CA",July 2012,24,4,0,2,1,0,0,0,0
2655,lUAEesLvvNUAYqqkxLFpgQ,Vina O.,"Chicago, IL",February 2011,99,201,7,79,31,21,20,127,0
2665,aYAfJgD_RqCqKcASPG6M9Q,Lindsay B.,"Chicago, IL",August 2008,12,48,6,85,82,93,15,0,1
2753,EJY2WrcwSjY-qjfD9VOrHA,k E.,"Chicago, IL",April 2009,2,91,6,39,7,9,0,0,0
2807,cP_qhrpYHBbwJFkQjXwffQ,Ritesh P.,"Chicago, IL",February 2011,8,3,2,2,1,0,0,1,0
2821,UVzMpDTuzi15UGawuAqmGA,Chuck Fly Boy T.,"Valparaiso, IN",November 2010,4,14,1,2,2,1,0,0,0
2895,ckVfHyf9zS-kkegoxCsAsw,Stephanie D.,"Chicago, IL",November 2007,4,22,1,39,14,15,2,0,1
2904,WAccH5eDw4PqXSud7Q50yQ,Te D.,"Chicago, IL",November 2010,3,64,6,78,33,86,2,0,3
2920,jWTuaAaXhnRlOUuwZ_80Pw,Anjee J.,"Chicago, IL",July 2008,36,93,1,184,93,157,43,8,9
2921,6fPpVAi8Set2FQ-pgEeG0w,michaelia f.,"Chicago, IL",February 2009,106,83,1,364,293,272,123,0,6
2935,R26UWcloAPxT67VOp_ejpQ,Reid Gruppchef G.,"Chicago, IL",January 2010,8,53,8,51,40,44,9,53,0
2970,6GnXS__T-7tAbB-C1-byeg,Tida M.,"Chicago, IL",July 2011,3,5,0,1,0,0,0,0,0
3060,2aQxVkAV0ON0Fwvbslorwg,dan l.,"Chicago, IL",October 2009,14,74,2,43,21,21,4,0,0
3065,uEinR9q2t_aOe5lxXeAXSA,Pete M.,"Huntington Beach, CA",March 2011,0,22,2,2,0,2,0,1,0
3076,ZxCXhyVB7V4eXBqRSQYhDQ,Patty S.,"Downers Grove, IL",July 2010,130,214,25,309,197,138,182,9,7
3106,U-g8HQfHWMyIp1r3_KwrTA,Cecilia O.,"Chicago, IL",January 2010,0,3,0,0,0,0,0,0,0
3116,0SSt8_hmzR00xbyvQCSj5Q,Diana superdi N.,NY,February 2007,75,646,17,467,272,70,63,0,13
3121,3jX6-TtDnHZ02a5gYsEHsQ,Monica C.,"Edison, NJ",March 2009,3,29,0,21,7,8,2,2,1
3130,jOBIRVWCWZfkUqLlb9ilNg,jay gordon heavyfoot w.,"Chicago, IL",December 2007,11,57,5,47,29,25,10,0,0
3140,V96rEJqh8EexsNs_CcKo6g,Mary O No I Didn't B.,"Grand Rapids, MI",July 2008,15,68,9,87,40,37,16,0,0
3172,f5C4-Md-632zE0eiUsfQXA,Dawn L.,"Chicago, IL",October 2007,51,85,1,158,85,30,30,0,6
3201,6XFSZMu2o4Sp2zoyc4YPeg,A. T.,"Palatine, IL",July 2007,3,19,0,9,8,2,4,0,0
3306,HNdq0IRk_iJz2nuBWrc81Q,Louise Weezball S.,"Schaumburg, IL",February 2006,6,17,7,25,7,12,4,0,3
3385,suHdEetIOy16eP1BmhqKXQ,Jordan ShakenCandy B.,"Chicago, IL",November 2007,66,109,4,142,113,81,70,0,12
3422,CHPnwzBghMzo3dauLqzmYQ,Michael C.,"Chicago, IL",January 2009,5,28,3,42,14,17,3,0,0
3449,Fgqi7v3AzUb1XmjNDjWd8g,Kenneth Kenn C.,"Happy Valley, OR",October 2008,8,24,3,14,6,6,1,1,0
3472,yOWkp40NHwXODpHf-8T2IA,Jason P.,"Skokie, IL",October 2009,1,2,0,1,0,0,0,0,0
3477,iGKH9qzcqu9_co4epKeoyA,Becky S.,"Chicago, IL",May 2008,5,120,2,88,33,23,19,1,2
3576,lHbrmo1P02iqhEVJptRfPg,Gina G.,"Chicago, IL",June 2006,4,20,4,30,12,2,4,0,0
3597,4Oua7O_IsDvhWxa25wk_WA,Jason W.,"Saint Louis, MO",March 2011,1,1,0,0,0,0,0,0,0
3614,wdycvCQCIJGQkcs0_jVxxg,Ali C.,"Chicago, IL",June 2011,1,18,1,6,4,3,0,0,0
3669,0Imi6Oo5r5hFOEqyGcS8hw,partha a.,"Rochester, NY",July 2011,9,9,0,3,0,0,0,5,1
3702,XvszsC5leI1_bJnKN1ZuIg,Chris K.,"Washington, DC",March 2012,0,1,0,4,1,1,0,0,0
3721,lxLvaKzRcN-7gtxyywgRbA,Hina Cookie Monster Q.,"Chicago, IL",January 2012,42,257,31,106,29,24,11,40,4
3796,0T2JPCikLwSq5d7gWP21Pg,Dee H.,"Chicago, IL",June 2008,0,18,0,16,5,4,0,0,0
3883,tDoxvkfbddfibqeY2SR-GA,Natalie boing boing R.,"Chicago, IL",December 2006,185,161,39,499,378,451,651,15,16
3904,zHvS1F_6wOPSLUk6vpDEGA,Taylor Honey Bee M.,"Long Grove, IL",June 2010,165,502,34,778,494,377,295,117,16
3922,tIKh0RVvws18czbTQ_48kw,Emily P.,"Chicago, IL",January 2009,6,21,0,27,11,7,2,0,0
4108,vmfGu5JBBpL2ngeqtcj9qw,Kerry K.,"Chicago, IL",August 2010,1,6,0,6,0,1,0,1,0
4138,WPPJPnX8KUghZqMdvNwPSw,Kelly kelsey W.,"Mokena, IL",February 2008,47,186,24,218,124,105,48,0,10
4162,W8O0HIIMY_PTxD8lIk5sDA,kristin t.,"Chicago, IL",June 2009,0,17,0,7,2,0,1,0,0
4177,kaG2Va1ee7YyRy-TB9Lulg,Beth P.,"Chicago, IL",January 2008,117,201,3,705,569,618,394,0,14
4217,6UkBaNfSwL0kDyopx7agUg,Kymberly southie J.,"Oak Park, IL",February 2008,78,407,23,366,146,108,49,17,5
4246,4VqpM7-1PQoev4u0cDiUdQ,Mike Big-Mike G.,"Chicago, IL",November 2009,5,22,2,20,4,4,2,4,2
4320,lTRdr5P664kWt4woydLbuQ,Scott N.,"Chicago, IL",November 2009,5,42,0,5,2,1,1,0,1
4357,CnqaxafcHZo8VyRwZahg5A,Meghan S.,"Chicago, IL",March 2006,8,48,8,54,19,6,11,0,1
4359,dt1n3wmyGvXiLIGav61teg,Stephanie The Influence H.,"Chicago, IL",April 2008,87,168,6,564,389,302,326,1,8
4371,qNgmvqt7zuLt1g9o-TFSdg,"Anne I like to bike, but I'm not a hipster S.","Chicago, IL",April 2008,237,382,20,716,454,272,333,3,16
4372,ZnZEjrNzJYHaBeBVjE_MHA,JIm L.,"Park Ridge, IL",November 2011,0,10,1,2,1,2,0,0,0
4395,SZhFfOKaaL4liirkdMdObQ,Lisa P.,"Chicago, IL",July 2008,2,23,0,9,2,1,1,0,0
4396,xr-bzh3URQxl7PTznT3W1Q,Robin B.,"Portland, OR",August 2008,4,40,0,37,17,12,1,0,1
4402,fu4gm0zFBxWS5Q_JfrcRUA,Yadira Yari D.,"Chicago, IL",January 2009,1,38,4,16,3,4,1,0,0
4419,te-2N9AX8OaycfYCURFExA,Sarah T.,"Chicago, IL",March 2009,8,30,2,21,11,1,6,0,2
4438,MIxRruPJlSCNLmjKI8bLRw,Michaela N.,"Chicago, IL",June 2010,9,12,0,12,1,2,2,0,2
4463,_fMpOqPqlfkvDzYrM112lA,Emily C.,"Fremont, CA",November 2009,14,35,1,38,21,8,6,0,5
4479,iagZ0VsgB8KROQHxMJa3PA,Rachel H.,"Boulder, CO",April 2009,6,22,2,18,3,2,1,0,1
4495,MayNO9rO_D0wL-G51mcVPA,lori m.,"Chicago, IL",July 2008,1,65,1,36,11,11,2,0,1
4548,Q6mk-8KuPIdXyAvdQ6LNzQ,Isa veggie B.,"Chicago, IL",February 2007,74,110,7,97,42,26,33,2,0
4563,0omPd8_8w_vnMU3zAwgTbA,Liz N.,"Chicago, IL",December 2010,0,24,1,4,4,2,1,0,0
4596,BqUIQ1vvd-V89IZornhb7g,Bill BZLincolnPark Z.,"Chicago, IL",November 2009,0,16,0,4,3,4,0,0,0
4727,lJSsC_FshZE8h8_FAXoWhw,Linda M.,"Chicago, IL",September 2008,14,54,2,20,13,12,5,5,0
4743,TvUPvw879ANrRWY6RIdv-Q,Patrick K.,"Chicago, IL",September 2011,0,25,0,5,1,1,0,0,0
4807,i_fI-oMFET9AlSQDYJas-g,Josh B.,"Chicago, IL",April 2009,1,10,0,6,2,1,0,0,0
4811,fe4PExdCuYtTDgTfUPS8lQ,Jona Semi-Anonymous Low Income Royalty W.,"Chicago, IL",March 2008,32,44,1,260,190,554,40,1,31
4876,srsNCnZHgQULEiHY7cnWmw,Joel Insert Joke Nickname C.,"Oak Park, IL",January 2007,4,20,0,43,20,11,2,0,2
4920,BPZ-YBLdC2SY9fi8JgVX7g,Matt W.,"Chicago, IL",October 2008,77,75,4,47,17,22,18,6,0
4965,3waYgfBN1rctYRc7eVDYYg,Matt A.,"Portland, OR",August 2009,23,16,1,9,4,8,1,0,1
4970,QDg9npgY788PqF0GSUoyNg,Lynn S.,"Chicago, IL",February 2008,5,14,0,10,7,5,0,0,0
5029,Yn7aOCcqme-0oDT4sZ3xRA,Mike F.,"Chicago, IL",July 2008,1,24,0,17,13,11,1,0,0
5050,YeaQE--g8XQ2J8CxhCRZ3Q,Amy a-mizzle G.,"Chicago, IL",May 2007,4,10,0,6,6,2,5,0,0
5052,SXlgPpu1tp5hA4gSNFooRQ,Katie Dallas B.,"Chicago, IL",May 2008,3,29,0,18,19,23,3,0,1
5055,83oDgr3hUC9BfYiAnEG5og,Timothy D.,"Chicago, IL",March 2009,1,19,0,10,5,5,1,0,0
5102,yadqF8nRHYBvdZi6zJ7bfA,A D.,"Chicago, IL",February 2012,0,6,0,1,1,0,0,0,1
5127,bLmwHcFCRRW5pwrfTzOkwg,Daniel C.,"Chicago, IL",April 2010,54,123,6,84,22,25,24,741,4
5166,7_-hrsiWwj51sWfiudq77g,ericmonster y.,"Chicago, IL",September 2006,1,6,1,13,2,4,1,0,0
5175,nYYnZuLWrdNvLldsXlUuYg,Darlene R.,"Chicago, IL",December 2007,14,73,4,84,47,30,26,0,2
5240,8zC8ywVgpBzbNutVkoWzoA,Chris k K.,"Chicago, IL",January 2010,0,9,0,3,1,1,1,0,0
5246,H-wUqq_-JYIimJXt6hkUww,sandy squirt j.,"Victor, ID",September 2007,22,61,2,45,34,39,13,0,1
5251,sdxmWYxsG5UvlfaT1BeAgQ,Katie C.,"Chicago, IL",February 2008,0,16,0,5,2,1,1,0,0
5308,y1PxpfifiQQEG0q0Ak9pfA,Alexis P.,"Chicago, IL",March 2009,22,71,1,52,27,11,11,0,3
5330,L3_sdfLnP8kFnsnrTRJSdg,Scottie S.,"Chicago, IL",February 2010,22,85,3,60,55,71,23,8,1
5340,TH80R3OpZdIPRJ2Vt1EU1Q,Rainier Snowyear R.,"Chicago, IL",October 2009,115,23,0,14,6,2,2,27,0
5360,B9bSf8lrtVWwSF8jKbtzrA,Stephanie C.,"Chicago, IL",July 2009,10,20,0,7,5,2,2,0,0
5362,fHn6tihVkU1dEqZ5ZNpniQ,Loralys M.,"Logan Square, Chicago, IL",August 2007,13,34,0,33,14,18,6,0,0
5383,tfbypIDrweda7QLrvvScAw,Becky C.,"Chicago, IL",January 2009,0,21,0,4,2,1,0,0,0
5411,k5ncWbjrM11_EjGPdU1s_Q,Katrina Katgirl H.,"Chicago, IL",July 2007,50,284,28,317,82,130,48,103,6
5444,RueTNs6Tn2Lybconf_gH0A,Catherine the how can I yelp you? H.,"Chicago, IL",November 2009,28,37,3,24,12,9,2,0,1
5481,05EYTXPMo2G_L02Dv-pCog,Charlotte The Gun S.,"Chicago, IL",October 2011,0,19,0,3,3,2,3,0,0
5507,lyf2GRlfH5dDU5M7fDtHZQ,Shannon S.,"Carson, CA",October 2009,17,147,14,113,58,62,17,110,2
5510,VK5rKYuHQWKHKVod7I4gqQ,Jesse Jess L.,"Chicago, IL",July 2010,31,19,1,9,4,4,2,1,0
5519,er_iK7jwTO5bw4EYDIaXyA,Ruma T.,"Chicago, IL",February 2008,4,16,0,7,5,1,4,0,0
5543,VHMJDk1SGw_gZ9Yx7DCJQw,Jen Pro Dog Trainer N.,"Chicago, IL",April 2008,65,198,8,459,254,239,64,0,9
5558,6_ei5996DUbISOfvp8LgyQ,Tyler String Bean B.,"Charlottesville, VA",June 2008,26,128,4,142,125,105,40,0,3
5699,kEYZ7yrft6whpOjAOLrOGA,John K.,"Chicago, IL",August 2008,4,84,9,77,33,94,0,0,0
5707,q93BvYeN3aDzSUNEWt3MgA,C ChiTown Take 2 M.,"Chicago, IL",January 2010,0,10,2,8,3,0,0,0,0
5729,rQkml9CWX8rVwpkOFnrU_A,"Scott Okay, I'll Have One More J.","Eden Prairie, MN",October 2006,56,287,73,449,319,106,142,40,11
5744,jjM8Hqwqj29KUtMXH__2QQ,Jennifer jchong C.,"Long Beach, CA",March 2009,113,247,2,114,59,24,29,25,3
5809,cVb5_tVwrA8bFB1MUGUpzQ,Becky C.,"Chicago, IL",May 2010,0,10,0,2,1,0,0,0,0
5825,r9jimo2ApyIQNMhQKvMkHA,becki s.,"Chicago, IL",July 2007,79,143,9,380,328,254,195,0,9
5872,WZq0FC-0HS6_R4pKUy_3Ig,Brian L.,"North Aurora, IL",October 2007,23,225,58,218,71,50,42,0,7
5873,Bx_SwiIDkmqg40Fm6a3xaQ,Irena G.,"Chicago, IL",February 2010,3,10,0,1,1,0,0,0,0
5988,f4d-dzblpmtjvtfxJ7WArA,A L.,"Omaha, NE",September 2009,11,114,13,146,50,43,15,0,1
5994,IjmAMsmTp-iu-8yweERS7Q,Michael K.,"Chicago, IL",November 2008,1,11,0,25,0,4,0,0,0
6041,ebC_pH92K4uxyDenoXb5bg,Val B.,"Minneapolis, MN",August 2007,96,344,31,631,285,357,152,8,15
